"Select The Label Shape","Select The Label Shape"
"Upload Custom Label Image","Upload Custom Label Image"
Remove,Remove
"Click <a href=""%1"">here</a> to download the packs of label images.","Click <a href=""%1"">here</a> to download the packs of label images."
"Please click %1 class=""update-preview"">here</a> to update the preview and save the changes.","Please click %1 class=""update-preview"">here</a> to update the preview and save the changes."
"Product Labels","Product Labels"
"Add New label","Add New label"
"Save and Continue Edit","Save and Continue Edit"
Duplicate,Duplicate
"Re-index Current Label","Re-index Current Label"
"Label Information","Label Information"
Category,Category
"Category Page","Category Page"
"Label Type","Label Type"
"Label Color","Label Color"
"Label Position","Label Position"
"Label Size","Label Size"
"Percent of the product image.","Percent of the product image."
"Label Text","Label Text"
"Text Color","Text Color"
"Text Size","Text Size"
"Example: 12px;","Example: 12px;"
"Label & Text Styles","Label & Text Styles"
"Ex.: text-align: center; line-height: 50px; For more CSS properties click <a target=""_blank"" href=""%1"">here</a>","Ex.: text-align: center; line-height: 50px; For more CSS properties click <a target=""_blank"" href=""%1"">here</a>"
Conditions,Conditions
"Product Conditions","Product Conditions"
"Date Range","Date Range"
"Use Date Range","Use Date Range"
No,No
Yes,Yes
"From Date","From Date"
"From Time","From Time"
"In format 15:32. If the input field is blank, 00:00 will be used.","In format 15:32. If the input field is blank, 00:00 will be used."
"To Date","To Date"
"To Time","To Time"
"In format 19:32. If the input field is blank, 00:00 will be used.","In format 19:32. If the input field is blank, 00:00 will be used."
State,State
"Is New","Is New"
"Does not matter","Does not matter"
"Is on Sale","Is on Sale"
"Use Special Price Only","Use Special Price Only"
"For `On Sale` condition","For `On Sale` condition"
Stock,Stock
Status,Status
"Out of Stock","Out of Stock"
"In Stock","In Stock"
"Use Stock Range","Use Stock Range"
"Display if stock is higher than ","Display if stock is higher than "
"Display if stock is lower than ","Display if stock is lower than "
"Price Range","Price Range"
"Use Price Range","Use Price Range"
"By Price","By Price"
"Base Price","Base Price"
"Special Price","Special Price"
"Final Price","Final Price"
"Final Price Incl Tax","Final Price Incl Tax"
"Starting from Price","Starting from Price"
"Starting to Price","Starting to Price"
"From Price","From Price"
"To Price","To Price"
"Customer Groups","Customer Groups"
"Use Customer Groups","Use Customer Groups"
"For Customer Groups","For Customer Groups"
General,General
Name,Name
Inactive,Inactive
Active,Active
Priority,Priority
"Use 0 to show label first, and 99 to show it last","Use 0 to show label first, and 99 to show it last"
"Hide if label with higher priority is already applied","Hide if label with higher priority is already applied"
"Use for Parent","Use for Parent"
"Display child`s label for parent (configurable and grouped products only)","Display child`s label for parent (configurable and grouped products only)"
Store,Store
Product,Product
"Product Page","Product Page"
"Label Options","Label Options"
"---- none ----","---- none ----"
"You deleted the label.","You deleted the label."
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"We can't find a item to delete.","We can't find a item to delete."
"You have duplicated the label.","You have duplicated the label."
"We can't duplicate item right now. Please review the log and try again.","We can't duplicate item right now. Please review the log and try again."
"We can't find a item to duplicate.","We can't find a item to duplicate."
"This item no longer exists.","This item no longer exists."
"Edit Product Label","Edit Product Label"
"New Product Label","New Product Label"
Catalog,Catalog
"Manage Product Labels","Manage Product Labels"
"Amasty Product Labels","Amasty Product Labels"
Amasty,Amasty
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"You have reindexed the label.","You have reindexed the label."
"We can't reindex label right now. Please review the log and try again.","We can't reindex label right now. Please review the log and try again."
"We can't find a item to reindex.","We can't find a item to reindex."
"The wrong label is specified.","The wrong label is specified."
"You saved the label.","You saved the label."
"Something went wrong while saving the item data. Please review the error log.","Something went wrong while saving the item data. Please review the error log."
"Please set field value 'Display if stock is higher than' less than field value 'Display if stock is lower than'","Please set field value 'Display if stock is higher than' less than field value 'Display if stock is lower than'"
"Failed to load SVG file %1 as XML.  It probably contains malformed data.","Failed to load SVG file %1 as XML.  It probably contains malformed data."
"Amasty label indexing failed. See details in exception log.","Amasty label indexing failed. See details in exception log."
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"The next lowest integer value","The next lowest integer value"
"By rules of mathematical rounding","By rules of mathematical rounding"
"The next highest integer value","The next highest integer value"
"Display Settings","Display Settings"
"Product Page Label Container","Product Page Label Container"
"DOM-selector for Container","DOM-selector for Container"
"Category Page Label Container","Category Page Label Container"
"Use Indexes for Better Performance","Use Indexes for Better Performance"
"`On Sale` Condition","`On Sale` Condition"
"Minimal discount amount","Minimal discount amount"
"Minimal discount percentage","Minimal discount percentage"
"Rounding of discount percentage","Rounding of discount percentage"
"`Is New` Condition","`Is New` Condition"
"Use `New from Date` and `New to Date`","Use `New from Date` and `New to Date`"
"Use `Creation Date`","Use `Creation Date`"
"It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes.","It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes."
"Product is new threshold","Product is new threshold"
"In days","In days"
"Amasty Product Label","Amasty Product Label"
"Indexed product/label association","Indexed product/label association"
"Indexed label/product association","Indexed label/product association"
Delete,Delete
"Are you sure you want to delete the selected labels?","Are you sure you want to delete the selected labels?"
Enable,Enable
Disable,Disable
"Label ID","Label ID"
"Product Page Label","Product Page Label"
"Product Page Text","Product Page Text"
"Category Page Label","Category Page Label"
"Category Page Text","Category Page Text"
